teks,emosi,level,jawaban
aku merasa lemas dan tidak bersemangat melakukan apapun hari ini,sedih,sedang,Mungkin kamu butuh istirahat yang cukup. Jangan dipaksakan jika tubuhmu lelah.
aku sangat marah karena namaku dicoret dari kelompok tugas,marah,berat,Itu tidak adil. Segera laporkan masalah ini kepada guru mata pelajaranmu.
aku bahagia bisa membantu teman yang sedang kesulitan belajar,senang,ringan,Kebaikanmu pasti akan kembali padamu. Teruslah menjadi orang yang bermanfaat.
aku takut presentasi di depan kelas karena sering gugup,stres,sedang,Latihlah bicaramu di depan cermin. Semakin sering berlatih rasa gugupmu akan berkurang.
aku merasa tidak berguna karena sering membuat kesalahan,sedih,berat,Setiap manusia pasti pernah salah. Belajarlah dari kesalahan itu untuk jadi lebih baik.
aku sangat senang bisa menonton film favorit di bioskop,senang,ringan,Menyenangkan sekali! Hiburan sederhana seperti itu sangat baik untuk pikiranmu.
aku benci saat guru memberikan tugas saat jam istirahat,marah,sedang,Memang terasa kurang adil. Coba gunakan waktu seefisien mungkin agar tetap bisa istirahat.
aku sedih karena orang tuaku lupa hari ulang tahunku,sedih,sedang,Rasa kecewa itu wajar. Cobalah ingatkan mereka dengan cara yang halus ya.
aku merasa sangat tenang saat mendengarkan musik di kamar,senang,ringan,Musik adalah terapi yang bagus. Teruskan hobi positifmu itu untuk menjaga suasana hati.
aku stres karena tidak punya uang saku untuk jajan di sekolah,stres,sedang,Cobalah membawa bekal dari rumah agar lebih hemat dan sehat.
aku sangat marah karena dituduh menyontek saat ujian,marah,berat,Tetap tenang dan tunjukkan bukti bahwa kamu jujur. Kebenaran pasti akan terungkap.
aku merasa senang bisa bergabung dalam organisasi OSIS,senang,sedang,Selamat belajar berorganisasi! Ini pengalaman berharga untuk melatih kepemimpinanmu.
aku sedih karena temanku pindah sekolah ke luar kota,sedih,sedang,Perpisahan memang berat tapi kamu masih bisa berkomunikasi lewat ponsel kan?
aku takut tidak bisa masuk ke universitas yang aku inginkan,stres,berat,Tetap fokus belajar dan berdoa. Berikan usaha maksimalmu untuk hasil terbaik.
aku merasa bangga karena bisa membantu ibu memasak,senang,ringan,Bagus sekali! Membantu orang tua adalah ibadah yang luar biasa.
aku kesal karena adikku merusak buku sekolahku,marah,ringan,Sabar ya mungkin adikmu belum mengerti. Mintalah dia untuk lebih berhati-hati lain kali.
aku merasa hampa dan tidak tahu apa tujuan hidupku,sedih,berat,Banyak orang merasakannya. Cobalah cari hal kecil yang membuatmu bahagia setiap hari.
aku sangat senang karena tim futsalku menang pertandingan,senang,ringan,Kemenangan yang luar biasa! Rayakan bersama teman setimmu dengan gembira.
aku stres memikirkan cicilan uang sekolah yang belum lunas,stres,berat,Bicarakan kendala ini dengan guru BK agar sekolah bisa memberikan solusi terbaik.
aku sedih karena sering dibully karena fisikku,sedih,berat,Jangan dengarkan mereka. Kamu berharga dan indah apa adanya. Laporkan ke guru BK ya.
aku marah melihat sampah yang berserakan di lingkungan sekolah,marah,ringan,Kepedulianmu bagus. Mari mulai dari diri sendiri dengan membuang sampah pada tempatnya.
aku merasa bahagia bisa berbagi makanan dengan orang lain,senang,ringan,Berbagi itu indah. Kamu telah membuat hari seseorang menjadi lebih baik.
aku takut dihukum karena lupa mengerjakan tugas rumah,stres,sedang,Hadapi konsekuensinya dengan jujur dan berjanji untuk tidak mengulanginya lagi.
aku merasa kecewa karena dikhianati oleh pacarku,sedih,berat,Patah hati memang sakit. Luapkan perasaanmu dan fokuslah pada kebahagiaan dirimu sendiri.
aku sangat senang karena cuaca hari ini sangat cerah,senang,ringan,Cuaca yang bagus untuk meningkatkan suasana hati. Nikmati harimu dengan semangat!
aku marah karena hp ku disita oleh guru saat pelajaran,marah,sedang,Ikuti aturan sekolah ya. Gunakan hp hanya pada waktu yang telah ditentukan.
aku merasa damai saat melihat pemandangan alam,senang,ringan,Alam memang memiliki kekuatan untuk menenangkan pikiran. Sering-seringlah bersyukur.
aku baru saja putus dengan pacarku dan rasanya sakit sekali,sedih,berat,Patah hati memang sangat berat. Luapkan perasaanmu jangan dipendam sendirian ya.
aku merasa cemburu melihat dia dekat dengan orang lain,marah,sedang,Cemburu itu wajar tapi jangan sampai merusak dirimu. Fokuslah pada hal-hal yang membuatmu bahagia.
pacarku sangat posesif dan aku merasa terkekang,stres,sedang,Hubungan yang sehat harus saling percaya. Coba bicarakan batasan privasimu dengannya secara jujur.
aku senang sekali karena akhirnya dia menerima cintaku,senang,ringan,Wah selamat ya! Jalani hubunganmu dengan positif dan saling mendukung.
aku merasa tidak percaya diri karena penampilanku kurang menarik,sedih,sedang,Setiap orang punya keunikannya sendiri. Kecantikan yang sebenarnya datang dari rasa percaya diri.
hobi melukisku membuat aku merasa sangat tenang,senang,ringan,Teruskan hobimu! Melukis adalah cara yang luar biasa untuk mengekspresikan emosi.
aku marah karena hobiku dianggap remeh oleh orang lain,marah,ringan,Jangan biarkan pendapat orang lain menghentikan minatmu. Buktikan dengan karya yang luar biasa.
aku stres memikirkan cara mendapatkan uang tambahan untuk jajan,stres,sedang,Mungkin kamu bisa mencoba jualan kecil-kecilan atau menawarkan jasa sesuai keahlianmu.
aku sedih karena ingin membeli buku tapi uangku tidak cukup,sedih,ringan,Sabar ya. Cobalah menabung sedikit demi sedikit atau meminjam di perpustakaan dulu.
aku merasa sangat bahagia saat bisa menonton konser musisi favoritku,senang,sedang,Pengalaman yang luar biasa! Simpan memori indah itu untuk penyemangat harimu.
aku bingung siapa aku sebenarnya dan apa bakatku,stres,berat,Fase pencarian jati diri itu normal. Cobalah banyak hal baru sampai kamu menemukan yang paling cocok.
aku merasa hampa meskipun sedang berada di keramaian,sedih,berat,Kadang kita merasa sepi di tengah ramai. Jangan ragu untuk mencari teman bicara yang bisa dipercaya.
aku marah pada diriku sendiri karena sering menunda pekerjaan,marah,sedang,Jangan terlalu keras pada dirimu. Mulailah dari hal kecil sekarang juga untuk memperbaikinya.
aku senang bisa belajar memasak resep baru hari ini,senang,ringan,Keren! Memasak adalah keterampilan hidup yang sangat berguna dan menyenangkan.
aku stres karena kecanduan bermain game hingga lupa waktu,stres,berat,Cobalah buat jadwal harian. Batasi waktu bermain agar aktivitas lain tidak terganggu.
aku sedih karena merasa tidak ada orang yang memahami perasaanku,sedih,berat,Aku di sini untuk mendengarkanmu. Ceritakan saja apa yang mengganjal di hatimu.
aku sangat senang karena tim esport ku menang turnamen,senang,sedang,Selamat atas kemenangannya! Kerja sama tim yang hebat selalu membuahkan hasil.
aku marah karena akun sosial mediaku di-hack orang,marah,berat,Itu sangat merugikan. Segera lakukan pemulihan akun dan lebih berhati-hati dengan keamanan digital.
aku merasa tenang saat bisa berolahraga di sore hari,senang,ringan,Olahraga adalah cara terbaik untuk melepas stres. Tubuh sehat pikiran pun segar.
aku sedih karena tidak bisa ikut acara jalan-jalan karena tidak ada biaya,sedih,sedang,Jangan berkecil hati. Masih banyak waktu di lain kesempatan untuk bersenang-senang.
aku merasa sangat tertekan dengan ekspektasi orang-orang di sekitarku,stres,berat,Ingatlah bahwa kamu hidup untuk dirimu sendiri bukan untuk memenuhi kepuasan orang lain.
aku bahagia bisa menghabiskan waktu bersama sahabat karibku,senang,ringan,Sahabat adalah harta yang berharga. Nikmati momen kebersamaan kalian dengan penuh syukur.
aku benci saat orang tuaku mengatur-atur gaya berpakaianku,marah,sedang,Mungkin mereka hanya ingin yang terbaik tapi kamu bisa mengomunikasikan gayamu secara baik-baik.
aku merasa minder melihat pencapaian orang lain di media sosial,sedih,sedang,Media sosial seringkali hanya menampilkan sisi indahnya saja. Fokuslah pada progresmu sendiri.
aku senang bisa menabung dari sisa uang saku bulan ini,senang,ringan,Hebat! Membiasakan diri menabung sejak dini akan sangat bermanfaat bagi masa depanmu.
aku stres karena sering bertengkar dengan saudara kandung di rumah,stres,sedang,Pertengkaran antar saudara itu biasa. Cobalah untuk saling mengalah dan menghargai.
aku sedih karena merasa tidak punya prestasi yang bisa dibanggakan,sedih,sedang,Setiap orang punya waktu masing-masing. Teruslah berusaha kamu pasti punya kelebihan tersembunyi.
aku sangat marah karena barang pribadiku dipinjam tanpa izin,marah,ringan,Sampaikan dengan tegas bahwa kamu kurang suka jika barangmu diambil tanpa bertanya dulu.
aku merasa damai saat membaca buku di perpustakaan yang tenang,senang,ringan,Membaca adalah jendela dunia. Nikmati waktu tenangmu untuk menambah wawasan.
aku bingung bagaimana cara menabung untuk membeli laptop baru,stres,sedang,Buatlah target tabungan harian. Sedikit demi sedikit lama-lama pasti akan terkumpul.
aku merasa kecewa karena dikhianati oleh orang yang aku percaya,sedih,berat,Pengkhianatan memang menyakitkan. Berikan waktu bagi hatimu untuk sembuh dan lebih selektif.
aku sangat senang karena bisa membantu kucing liar di jalan,senang,ringan,Kebaikan kecilmu sangat berarti. Kamu adalah orang yang memiliki empati tinggi.
aku marah karena dituduh melakukan hal yang tidak aku perbuat,marah,berat,Tetap tenang dan bicarakan faktanya. Kebenaran akan membela dirimu pada akhirnya.
aku merasa sangat terbebani dengan masalah ekonomi keluarga,stres,berat,Ini beban yang berat untuk seusiamu. Tetaplah tegar dan fokus pada pendidikanmu untuk mengubah keadaan.
aku senang bisa melihat matahari terbenam sore ini,senang,ringan,Keindahan alam yang sederhana bisa memberikan ketenangan jiwa. Syukuri momen kecil ini.
aku sedih karena merasa orang tuaku tidak menyayangiku,sedih,berat,Mungkin mereka sulit menunjukkan rasa sayang. Jangan ragu bicara dengan guru BK tentang perasaan ini.
aku merasa kesepian karena tidak ada teman untuk berbagi cerita,sedih,berat,Kesepian bisa sangat menyiksa. Cobalah bergabung dengan komunitas yang sesuai minatmu.
aku sangat marah karena jadwal liburanku dibatalkan secara sepihak,marah,sedang,Kecewa itu pasti. Cobalah cari aktivitas pengganti di rumah agar tidak terlalu bosan.
aku merasa bahagia setelah melakukan meditasi pagi ini,senang,ringan,Langkah yang bagus! Meditasi sangat efektif untuk menjaga kesehatan mentalmu.
aku stres karena tidak tahu harus mulai dari mana untuk memperbaiki hidup,stres,berat,Mulailah dari satu hal terkecil setiap hari. Perubahan besar dimulai dari langkah kecil.
aku merasa sedih melihat kondisi lingkungan yang semakin rusak,sedih,ringan,Kepedulianmu adalah langkah awal. Mari mulai menjaga lingkungan dari hal-hal kecil di sekitar.
aku senang karena bisa menghemat pengeluaran minggu ini,senang,ringan,Manajemen keuangan yang bagus! Ini adalah kebiasaan yang sangat positif.
aku merasa terancam dengan komentar negatif di internet,stres,berat,Abaikan komentar yang tidak membangun. Jika perlu batasi penggunaan media sosialmu sementara waktu.
aku marah karena merasa diperlakukan tidak adil oleh lingkungan,marah,sedang,Keadilan memang sulit ditemukan kadang. Tetaplah menjadi orang baik meskipun lingkunganmu sulit.
aku merasa tenang saat bisa menulis diary setiap malam,senang,ringan,Menulis adalah cara yang bagus untuk menuangkan beban pikiran. Lanjutkan kebiasaan ini.
aku sedih karena merasa hidupku begini-begini saja tanpa kemajuan,sedih,sedang,Proses setiap orang berbeda. Bandingkan dirimu dengan dirimu yang kemarin bukan dengan orang lain.
aku sangat senang karena mendapatkan hadiah tak terduga dari teman,senang,ringan,Menyenangkan sekali! Itu tandanya kamu sangat dihargai oleh teman-temanmu.
aku stres karena tekanan untuk selalu tampil sempurna di depan publik,stres,berat,Tidak ada manusia yang sempurna. Terimalah kekuranganmu sebagai bagian dari dirimu yang unik.
aku merasa kesal karena rencana akhir pekanku berantakan karena hujan,marah,ringan,Cuaca tidak bisa dikontrol. Cobalah nikmati waktu luang dengan membaca atau menonton film di rumah.
aku merasa bahagia saat bisa bangun pagi dengan tubuh yang segar,senang,ringan,Kesehatan adalah nikmat yang luar biasa. Awali harimu dengan rasa syukur dan semangat.
aku sering kesiangan karena tidurnya kemalaman,stres,sedang,Cobalah untuk mengatur jadwal tidur yang lebih teratur agar tubuhmu lebih segar di pagi hari.
aku takut dihukum guru karena hari ini datang terlambat,stres,sedang,Hadapi konsekuensinya dengan jujur dan usahakan untuk bangun lebih awal besok ya.
aku kesal karena macet di jalan membuatku terlambat masuk kelas,marah,ringan,Kondisi jalan memang sulit ditebak. Cobalah berangkat 15 menit lebih awal dari biasanya.
aku sedih karena sudah berusaha bangun pagi tapi tetap saja kesiangan,sedih,sedang,Jangan berkecil hati. Coba periksa apakah alarmmu sudah terpasang dengan benar atau mintalah bantuan orang rumah.
aku merasa malu pada teman-teman karena selalu jadi yang terakhir datang,sedih,sedang,Rasa malu itu bisa jadi motivasi untuk berubah. Kamu pasti bisa lebih disiplin mulai besok.
aku stres setiap pagi harus terburu-buru agar tidak terlambat sekolah,stres,sedang,Mempersiapkan perlengkapan sekolah di malam hari bisa sangat membantu mengurangi rasa terburu-buru di pagi hari.
aku marah pada diriku sendiri karena lupa menyalakan alarm,marah,ringan,Jadikan ini pelajaran berharga. Pastikan mengecek ulang alarm sebelum kamu tidur ya.
aku senang hari ini tidak terlambat dan bisa mengikuti upacara dengan tenang,senang,ringan,Bagus sekali! Pertahankan kedisiplinan ini karena akan sangat berguna bagi masa depanmu.
aku sangat marah karena barang pribadiku dipinjam tanpa izin,marah,ringan,Sampaikan dengan tegas bahwa kamu kurang suka jika barangmu diambil tanpa bertanya dulu.
aku merasa damai saat membaca buku di perpustakaan yang tenang,senang,ringan,Membaca adalah jendela dunia. Nikmati waktu tenangmu untuk menambah wawasan.
aku bingung bagaimana cara menabung untuk membeli laptop baru,stres,sedang,Buatlah target tabungan harian. Sedikit demi sedikit lama-lama pasti akan terkumpul.
aku merasa kecewa karena dikhianati oleh orang yang aku percaya,sedih,berat,Pengkhianatan memang menyakitkan. Berikan waktu bagi hatimu untuk sembuh dan lebih selektif.
aku sangat senang karena bisa membantu kucing liar di jalan,senang,ringan,Kebaikan kecilmu sangat berarti. Kamu adalah orang yang memiliki empati tinggi.
aku marah karena dituduh melakukan hal yang tidak aku perbuat,marah,berat,Tetap tenang dan bicarakan faktanya. Kebenaran akan membela dirimu pada akhirnya.
aku merasa sangat terbebani dengan masalah ekonomi keluarga,stres,berat,Ini beban yang berat untuk seusiamu. Tetaplah tegar dan fokus pada pendidikanmu untuk mengubah keadaan.
aku senang bisa melihat matahari terbenam sore ini,senang,ringan,Keindahan alam yang sederhana bisa memberikan ketenangan jiwa. Syukuri momen kecil ini.
aku sedih karena merasa orang tuaku tidak menyayangiku,sedih,berat,Mungkin mereka sulit menunjukkan rasa sayang. Jangan ragu bicara dengan guru BK tentang perasaan ini.
aku merasa kesepian karena tidak ada teman untuk berbagi cerita,sedih,berat,Kesepian bisa sangat menyiksa. Cobalah bergabung dengan komunitas yang sesuai minatmu.
aku sangat marah karena jadwal liburanku dibatalkan secara sepihak,marah,sedang,Kecewa itu pasti. Cobalah cari aktivitas pengganti di rumah agar tidak terlalu bosan.
aku merasa bahagia setelah melakukan meditasi pagi ini,senang,ringan,Langkah yang bagus! Meditasi sangat efektif untuk menjaga kesehatan mentalmu.
aku stres karena tidak tahu harus mulai dari mana untuk memperbaiki hidup,stres,berat,Mulailah dari satu hal terkecil setiap hari. Perubahan besar dimulai dari langkah kecil.
aku merasa sedih melihat kondisi lingkungan yang semakin rusak,sedih,ringan,Kepedulianmu adalah langkah awal. Mari mulai menjaga lingkungan dari hal-hal kecil di sekitar.
aku senang karena bisa menghemat pengeluaran minggu ini,senang,ringan,Manajemen keuangan yang bagus! Ini adalah kebiasaan yang sangat positif.
aku merasa terancam dengan komentar negatif di internet,stres,berat,Abaikan komentar yang tidak membangun. Jika perlu batasi penggunaan media sosialmu sementara waktu.
aku marah karena merasa diperlakukan tidak adil oleh lingkungan,marah,sedang,Keadilan memang sulit ditemukan kadang. Tetaplah menjadi orang baik meskipun lingkunganmu sulit.
aku merasa tenang saat bisa menulis diary setiap malam,senang,ringan,Menulis adalah cara yang bagus untuk menuangkan beban pikiran. Lanjutkan kebiasaan ini.
aku sedih karena merasa hidupku begini-begini saja tanpa kemajuan,sedih,sedang,Proses setiap orang berbeda. Bandingkan dirimu dengan dirimu yang kemarin bukan dengan orang lain.
aku sangat senang karena mendapatkan hadiah tak terduga dari teman,senang,ringan,Menyenangkan sekali! Itu tandanya kamu sangat dihargai oleh teman-temanmu.
aku stres karena tekanan untuk selalu tampil sempurna di depan publik,stres,berat,Tidak ada manusia yang sempurna. Terimalah kekuranganmu sebagai bagian dari dirimu yang unik.
aku merasa kesal karena rencana akhir pekanku berantakan karena hujan,marah,ringan,Cuaca tidak bisa dikontrol. Cobalah nikmati waktu luang dengan membaca atau menonton film di rumah.
aku merasa bahagia saat bisa bangun pagi dengan tubuh yang segar,senang,ringan,Kesehatan adalah nikmat yang luar biasa. Awali harimu dengan rasa syukur dan semangat.
aku sering kesiangan karena tidurnya kemalaman,stres,sedang,Cobalah untuk mengatur jadwal tidur yang lebih teratur agar tubuhmu lebih segar di pagi hari.
aku takut dihukum guru karena hari ini datang terlambat,stres,sedang,Hadapi konsekuensinya dengan jujur dan usahakan untuk bangun lebih awal besok ya.
aku kesal karena macet di jalan membuatku terlambat masuk kelas,marah,ringan,Kondisi jalan memang sulit ditebak. Cobalah berangkat 15 menit lebih awal dari biasanya.
aku sedih karena sudah berusaha bangun pagi tapi tetap saja kesiangan,sedih,sedang,Jangan berkecil hati. Coba periksa apakah alarmmu sudah terpasang dengan benar atau mintalah bantuan orang rumah.
aku merasa malu pada teman-teman karena selalu jadi yang terakhir datang,sedih,sedang,Rasa malu itu bisa jadi motivasi untuk berubah. Kamu pasti bisa lebih disiplin mulai besok.
aku stres setiap pagi harus terburu-buru agar tidak terlambat sekolah,stres,sedang,Mempersiapkan perlengkapan sekolah di malam hari bisa sangat membantu mengurangi rasa terburu-buru di pagi hari.
aku marah pada diriku sendiri karena lupa menyalakan alarm,marah,ringan,Jadikan ini pelajaran berharga. Pastikan mengecek ulang alarm sebelum kamu tidur ya.
aku senang hari ini tidak terlambat dan bisa mengikuti upacara dengan tenang,senang,ringan,Bagus sekali! Pertahankan kedisiplinan ini karena akan sangat berguna bagi masa depanmu.
